sample#,batch,core,temp,inc_time_d,sample_id,mass_inc_g,inc_start_date,inc_end_date,GC_T1,GC_T2,GC_T3,GC_T4,saline_Ti,saline_Tf,frozen,decanted,lyophilized,mass_post_lyoph_g,extracted,deriv,FID,MS,IRMS
1,1,35m,-4,0,p35m(-4C)0d,89.8,13-Oct-22,13-Oct-22,NA,NA,NA,NA,NA,NA,13-Oct-22,3-Feb-23,,,,,,,
2,1,35m,-4,7,p35m(-4C)7d,78.8,13-Oct-22,20-Oct-22,13-Oct-22,16-Oct-22,18-Oct-22,20-Oct-22,13-Oct-22,20-Oct-22,20-Oct-22,3-Feb-23,,,,,,,
3,1,35m,-4,30,p35m(-4C)30d,96.8,13-Oct-22,12-Nov-22,13-Oct-22,20-Oct-22,3-Nov-22,12-Nov-22,13-Oct-22,12-Nov-22,12-Nov-22,3-Feb-23,,,,,,,
4,1,35m,-4,180,p35m(-4C)180d,69.8,13-Oct-22,11-Apr-23,13-Oct-22,1-Dec-22,11-Jan-23,11-Apr-23,13-Oct-22,11-Apr-23,,,,,,,,,
5,2,35m,4,0,p35m(4C)0d,80,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
6,2,35m,4,7,p35m(4C)7d,96,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
7,2,35m,4,30,p35m(4C)30d,97,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
8,2,35m,4,180,p35m(4C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
9,2,35m,12,0,p35m(12C)0d,80,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
10,2,35m,12,7,p35m(12C)7d,100,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
11,2,35m,12,30,p35m(12C)30d,99,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
12,2,35m,12,180,p35m(12C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
13,1,54m,-4,0,p54m(-4C)0d,61.8,13-Oct-22,13-Oct-22,NA,NA,NA,NA,NA,NA,13-Oct-22,3-Feb-23,,,,,,,
14,1,54m,-4,7,p54m(-4C)7d,87.8,13-Oct-22,20-Oct-22,13-Oct-22,16-Oct-22,18-Oct-22,20-Oct-22,13-Oct-22,20-Oct-22,20-Oct-22,3-Feb-23,,,,,,,
15,1,54m,-4,30,p54m(-4C)30d,95.4,13-Oct-22,12-Nov-22,13-Oct-22,20-Oct-22,3-Nov-22,12-Nov-22,13-Oct-22,12-Nov-22,12-Nov-22,3-Feb-23,,,,,,,
16,1,54m,-4,180,p54m(-4C)180d,89,13-Oct-22,11-Apr-23,13-Oct-22,1-Dec-22,11-Jan-23,11-Apr-23,13-Oct-22,11-Apr-23,,,,,,,,,
17,2,54m,4,0,p54m(4C)0d,,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
18,2,54m,4,7,p54m(4C)7d,67,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
19,2,54m,4,30,p54m(4C)30d,79,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
20,2,54m,4,180,p54m(4C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
21,2,54m,12,0,p54m(12C)0d,80,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
22,2,54m,12,7,p54m(12C)7d,96,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
23,2,54m,12,30,p54m(12C)30d,90,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
24,2,54m,12,180,p54m(12C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
25,1,83m,-4,0,p83m(-4C)0d,78,13-Oct-22,13-Oct-22,NA,NA,NA,NA,NA,NA,13-Oct-22,3-Feb-23,,,,,,,
26,1,83m,-4,7,p83m(-4C)7d,80,13-Oct-22,20-Oct-22,13-Oct-22,16-Oct-22,18-Oct-22,20-Oct-22,13-Oct-22,20-Oct-22,20-Oct-22,3-Feb-23,,,,,,,
27,1,83m,-4,30,p83m(-4C)30d,78.7,13-Oct-22,12-Nov-22,13-Oct-22,20-Oct-22,3-Nov-22,12-Nov-22,13-Oct-22,12-Nov-22,12-Nov-22,3-Feb-23,,,,,,,
28,1,83m,-4,180,p83m(-4C)180d,81.3,13-Oct-22,11-Apr-23,13-Oct-22,1-Dec-22,11-Jan-23,11-Apr-23,13-Oct-22,11-Apr-23,,,,,,,,,
29,2,83m,4,0,p83m(4C)0d,78,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
30,2,83m,4,7,p83m(4C)7d,90,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
31,2,83m,4,30,p83m(4C)30d,83,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
32,2,83m,4,180,p83m(4C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
33,2,83m,12,0,p83m(12C)0d,78,28-Oct-22,28-Oct-22,NA,NA,NA,NA,NA,NA,28-Oct-22,3-Feb-23,,,,,,,
34,2,83m,12,7,p83m(12C)7d,93,28-Oct-22,4-Nov-22,28-Oct-22,31-Oct-22,2-Nov-22,4-Nov-22,28-Oct-22,4-Nov-22,4-Nov-22,3-Feb-23,,,,,,,
35,2,83m,12,30,p83m(12C)30d,78,28-Oct-22,27-Nov-22,28-Oct-22,5-Nov-22,12-Nov-22,27-Nov-22,28-Oct-22,27-Nov-22,27-Nov-22,3-Feb-23,,,,,,,
36,2,83m,12,180,p83m(12C)180d,,28-Oct-22,26-Apr-23,28-Oct-22,11-Jan-23,26-Feb-23,26-Apr-23,28-Oct-22,26-Apr-23,,,,,,,,,
37,1,US,12,0,pUS(12C)0d,87,13-Oct-22,13-Oct-22,NA,NA,NA,NA,NA,NA,13-Oct-22,3-Feb-23,,,,,,,
38,1,US,12,7,pUS(12C)7d,90,13-Oct-22,20-Oct-22,13-Oct-22,16-Oct-22,18-Oct-22,20-Oct-22,13-Oct-22,20-Oct-22,20-Oct-22,3-Feb-23,,,,,,,
39,1,US,12,30,pUS(12C)30d,91,13-Oct-22,12-Nov-22,13-Oct-22,20-Oct-22,3-Nov-22,12-Nov-22,13-Oct-22,12-Nov-22,12-Nov-22,3-Feb-23,,,,,,,
40,1,US,12,180,pUS(12C)180d,97,13-Oct-22,11-Apr-23,13-Oct-22,1-Dec-22,11-Jan-23,11-Apr-23,13-Oct-22,11-Apr-23,,,,,,,,,